onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	recalled	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	81.191	19228	SESS_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
81.191	10.0	59820	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
91.619	3.525	65034	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
95.144	1.6	66796	PRACTICE_WORD	n/a	n/a	CHEST	n/a	-999	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
97.528	1.6	67988	PRACTICE_WORD	n/a	n/a	WATCH	n/a	-999	0	2	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
99.961	1.6	69205	PRACTICE_WORD	n/a	n/a	COTTON	n/a	-999	0	3	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
102.428	1.6	70438	PRACTICE_WORD	n/a	n/a	RING	n/a	-999	0	4	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
104.862	1.6	71655	PRACTICE_WORD	n/a	n/a	TONGUE	n/a	-999	0	5	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
107.346	1.6	72897	PRACTICE_WORD	n/a	n/a	FLOOD	n/a	-999	0	6	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
109.913	1.6	74180	PRACTICE_WORD	n/a	n/a	BEAM	n/a	-999	0	7	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
112.48	1.6	75464	PRACTICE_WORD	n/a	n/a	IRON	n/a	-999	0	8	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
115.048	1.6	76748	PRACTICE_WORD	n/a	n/a	RHINO	n/a	-999	0	9	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
117.447	1.6	77947	PRACTICE_WORD	n/a	n/a	ATTIC	n/a	-999	0	10	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
119.999	1.6	79223	PRACTICE_WORD	n/a	n/a	WAGON	n/a	-999	0	11	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
122.549	1.6	80498	PRACTICE_WORD	n/a	n/a	CAMEL	n/a	-999	0	12	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
124.166	0.0	81306	PRACTICE_DISTRACT_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
124.166	0.017	81306	START	n/a	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
124.183	4.867	81315	PROB	4.839	n/a	n/a	n/a	-999	0	-1	[5, 8, 5]	18	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
129.05	3.518	83748	PROB	3.492	n/a	n/a	n/a	-999	0	-1	[5, 1, 5]	11	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
132.568	3.817	85507	PROB	3.782	n/a	n/a	n/a	-999	0	-1	[8, 3, 8]	24	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
136.385	3.401	87416	PROB	3.365	n/a	n/a	n/a	-999	0	-1	[2, 8, 1]	17	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
139.786	7.308	89116	PROB	7.308	n/a	n/a	n/a	-999	0	-1	[9, 6, 4]	24	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
147.094	0.01	92770	STOP	n/a	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
147.104	0.569	92775	PRACTICE_DISTRACT_END	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
147.673	30.514	93059	PRACTICE_REC_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	2	R1036M
