onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	recalled	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	24.846	101014	SESS_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
24.846	10.0	113436	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
35.274	3.675	118649	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
38.949	1.6	120487	PRACTICE_WORD	n/a	n/a	CHEST	n/a	-999	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
41.516	1.6	121770	PRACTICE_WORD	n/a	n/a	IRON	n/a	-999	0	2	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
44.017	1.6	123020	PRACTICE_WORD	n/a	n/a	BEAM	n/a	-999	0	3	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
46.468	1.6	124246	PRACTICE_WORD	n/a	n/a	RHINO	n/a	-999	0	4	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
48.984	1.6	125504	PRACTICE_WORD	n/a	n/a	WATCH	n/a	-999	0	5	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
51.385	1.6	126704	PRACTICE_WORD	n/a	n/a	ATTIC	n/a	-999	0	6	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
53.968	1.6	127995	PRACTICE_WORD	n/a	n/a	FLOOD	n/a	-999	0	7	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
56.569	1.6	129296	PRACTICE_WORD	n/a	n/a	COTTON	n/a	-999	0	8	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
59.187	1.6	130605	PRACTICE_WORD	n/a	n/a	TONGUE	n/a	-999	0	9	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
61.637	1.6	131829	PRACTICE_WORD	n/a	n/a	WAGON	n/a	-999	0	10	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
64.121	1.6	133071	PRACTICE_WORD	n/a	n/a	CAMEL	n/a	-999	0	11	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
66.538	1.6	134280	PRACTICE_WORD	n/a	n/a	RING	n/a	-999	0	12	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
68.155	0.001	135088	PRACTICE_DISTRACT_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
68.156	0.016	135089	START	n/a	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
68.172	14.97	135097	PROB	14.937	n/a	n/a	n/a	-999	0	-1	[8, 4, 9]	13	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
83.142	11.445	142581	PROB	11.445	n/a	n/a	n/a	-999	0	-1	[9, 5, 6]	12	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
94.587	0.006	148303	STOP	n/a	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
94.593	0.537	148306	PRACTICE_DISTRACT_END	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
95.13	30.513	148574	PRACTICE_REC_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
125.643	102.204	163829	PRACTICE_REC_END	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
227.847	41.147	214926	SESS_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
268.994	0.0	235497	TRIAL	n/a	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
268.994	10.0	235497	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
279.422	0.007	240711	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
279.429	1.6	240714	ORIENT	n/a	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
283.248	1.6	242623	WORD	n/a	wordpools/wordpool_categorized_EN.txt	MARKER	OfficeSupplies	1	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
285.714	1.6	243856	WORD	n/a	wordpools/wordpool_categorized_EN.txt	PENCIL	OfficeSupplies	2	1	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
288.04	4.6	245019	STIM_ON	n/a	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	1	1	4600	LFG18	LFG25	3000.0	50	230	300	catFR2	0	R1041M
288.249	1.6	245124	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BEACH	Landscapes	3	1	1	[0, 0, 0]	n/a	1	1	4600	LFG18	LFG25	3000.0	50	230	300	catFR2	0	R1041M
290.648	1.6	246323	WORD	n/a	wordpools/wordpool_categorized_EN.txt	ISLAND	Landscapes	4	0	1	[0, 0, 0]	n/a	1	1	4600	LFG18	LFG25	3000.0	50	230	300	catFR2	0	R1041M
293.116	1.6	247557	WORD	n/a	wordpools/wordpool_categorized_EN.txt	CELERY	Vegetables	5	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
295.499	1.6	248748	WORD	n/a	wordpools/wordpool_categorized_EN.txt	PEAS	Vegetables	6	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
297.689	4.6	249843	STIM_ON	n/a	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	1	1	4600	LFG18	LFG25	3000.0	50	230	300	catFR2	0	R1041M
297.899	1.6	249948	WORD	n/a	wordpools/wordpool_categorized_EN.txt	GLUE	OfficeSupplies	7	0	1	[0, 0, 0]	n/a	1	1	4600	LFG18	LFG25	3000.0	50	230	300	catFR2	0	R1041M
300.483	1.6	251240	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BINDER	OfficeSupplies	8	0	1	[0, 0, 0]	n/a	1	1	4600	LFG18	LFG25	3000.0	50	230	300	catFR2	0	R1041M
303.05	1.6	252523	WORD	n/a	wordpools/wordpool_categorized_EN.txt	LETTUCE	Vegetables	9	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
305.551	1.6	253774	WORD	n/a	wordpools/wordpool_categorized_EN.txt	ONION	Vegetables	10	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
307.881	4.6	254939	STIM_ON	n/a	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	1	1	4600	LFG18	LFG25	3000.0	50	230	300	catFR2	0	R1041M
308.086	1.6	255041	WORD	n/a	wordpools/wordpool_categorized_EN.txt	STREAM	Landscapes	11	0	1	[0, 0, 0]	n/a	1	1	4600	LFG18	LFG25	3000.0	50	230	300	catFR2	0	R1041M
310.585	1.6	256290	WORD	n/a	wordpools/wordpool_categorized_EN.txt	VALLEY	Landscapes	12	0	1	[0, 0, 0]	n/a	1	1	4600	LFG18	LFG25	3000.0	50	230	300	catFR2	0	R1041M
312.203	0.001	257099	DISTRACT_START	n/a	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
312.204	0.016	257100	START	n/a	n/a	n/a	n/a	-999	0	1	[-999, -999, -999]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
312.22	6.517	257108	PROB	6.488	n/a	n/a	n/a	-999	0	1	[7, 4, 3]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
318.737	2.351	260366	PROB	2.323	n/a	n/a	n/a	-999	0	1	[8, 3, 6]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
321.088	1.566	261541	PROB	1.532	n/a	n/a	n/a	-999	0	1	[2, 6, 8]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
322.654	1.267	262324	PROB	1.246	n/a	n/a	n/a	-999	0	1	[2, 7, 8]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
323.921	1.235	262958	PROB	1.204	n/a	n/a	n/a	-999	0	1	[3, 1, 1]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
325.156	1.282	263575	PROB	1.256	n/a	n/a	n/a	-999	0	1	[4, 8, 2]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
326.438	1.284	264216	PROB	1.254	n/a	n/a	n/a	-999	0	1	[4, 9, 6]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
327.722	1.35	264858	PROB	1.322	n/a	n/a	n/a	-999	0	1	[3, 1, 4]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
329.072	1.4	265533	PROB	1.38	n/a	n/a	n/a	-999	0	1	[7, 8, 4]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
330.472	1.201	266233	PROB	1.18	n/a	n/a	n/a	-999	0	1	[4, 6, 9]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
331.673	1.147	266833	PROB	1.147	n/a	n/a	n/a	-999	0	1	[9, 6, 7]	11	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
332.82	0.02	267407	STOP	n/a	n/a	n/a	n/a	-999	0	1	[-999, -999, -999]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
332.84	1.117	267417	DISTRACT_END	n/a	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1041M
