onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	recalled	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	22.408	228363	SESS_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
22.408	10.0	239566	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
32.836	3.909	244779	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
36.745	1.6	246734	PRACTICE_WORD	n/a	n/a	ATTIC	n/a	-999	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
39.128	1.6	247925	PRACTICE_WORD	n/a	n/a	WAGON	n/a	-999	0	2	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
41.529	1.6	249126	PRACTICE_WORD	n/a	n/a	TONGUE	n/a	-999	0	3	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
43.946	1.6	250334	PRACTICE_WORD	n/a	n/a	CHEST	n/a	-999	0	4	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
46.429	1.6	251575	PRACTICE_WORD	n/a	n/a	IRON	n/a	-999	0	5	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
48.93	1.6	252826	PRACTICE_WORD	n/a	n/a	BEAM	n/a	-999	0	6	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
51.531	1.6	254126	PRACTICE_WORD	n/a	n/a	CAMEL	n/a	-999	0	7	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
54.048	1.6	255384	PRACTICE_WORD	n/a	n/a	FLOOD	n/a	-999	0	8	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
56.649	1.6	256685	PRACTICE_WORD	n/a	n/a	RING	n/a	-999	0	9	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
59.132	1.6	257926	PRACTICE_WORD	n/a	n/a	COTTON	n/a	-999	0	10	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
61.55	1.6	259135	PRACTICE_WORD	n/a	n/a	WATCH	n/a	-999	0	11	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
64.05	1.6	260385	PRACTICE_WORD	n/a	n/a	RHINO	n/a	-999	0	12	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
65.667	0.001	261193	PRACTICE_DISTRACT_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
65.668	0.016	261194	START	n/a	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
65.684	3.583	261202	PROB	3.554	n/a	n/a	n/a	-999	0	-1	[4, 6, 3]	13	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
69.267	2.602	262993	PROB	2.58	n/a	n/a	n/a	-999	0	-1	[4, 3, 7]	14	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
71.869	3.584	264294	PROB	3.561	n/a	n/a	n/a	-999	0	-1	[5, 7, 3]	15	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
75.453	2.899	266086	PROB	2.873	n/a	n/a	n/a	-999	0	-1	[4, 1, 1]	6	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
78.352	2.934	267535	PROB	2.902	n/a	n/a	n/a	-999	0	-1	[5, 5, 9]	19	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
81.286	3.834	269002	PROB	3.8	n/a	n/a	n/a	-999	0	-1	[8, 3, 9]	20	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
85.12	2.814	270919	PROB	2.814	n/a	n/a	n/a	-999	0	-1	[1, 5, 2]	8	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
87.934	0.003	272326	STOP	n/a	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	0	R1028M
