onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	recalled	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	11.972	45757	SESS_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
11.972	10.0	51743	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
22.4	3.641	56956	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
26.041	1.6	58777	PRACTICE_WORD	n/a	n/a	BEAM	n/a	-999	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
28.508	1.6	60010	PRACTICE_WORD	n/a	n/a	FLOOD	n/a	-999	0	2	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
31.059	1.6	61286	PRACTICE_WORD	n/a	n/a	ATTIC	n/a	-999	0	3	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
33.643	1.6	62577	PRACTICE_WORD	n/a	n/a	RING	n/a	-999	0	4	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
36.21	1.6	63861	PRACTICE_WORD	n/a	n/a	IRON	n/a	-999	0	5	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
38.61	1.6	65061	PRACTICE_WORD	n/a	n/a	COTTON	n/a	-999	0	6	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
41.228	1.6	66370	PRACTICE_WORD	n/a	n/a	CAMEL	n/a	-999	0	7	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
43.611	1.6	67561	PRACTICE_WORD	n/a	n/a	TONGUE	n/a	-999	0	8	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
46.095	1.6	68803	PRACTICE_WORD	n/a	n/a	CHEST	n/a	-999	0	9	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
48.579	1.6	70045	PRACTICE_WORD	n/a	n/a	WAGON	n/a	-999	0	10	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
50.963	1.6	71237	PRACTICE_WORD	n/a	n/a	RHINO	n/a	-999	0	11	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
53.447	1.6	72479	PRACTICE_WORD	n/a	n/a	WATCH	n/a	-999	0	12	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
55.064	0.001	73287	PRACTICE_DISTRACT_START	n/a	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
55.065	0.015	73288	START	n/a	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
55.08	11.819	73295	PROB	11.788	n/a	n/a	n/a	-999	0	-1	[9, 2, 6]	17	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
66.899	4.901	79205	PROB	4.873	n/a	n/a	n/a	-999	0	-1	[1, 8, 2]	11	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
71.8	6.557	81655	PROB	6.557	n/a	n/a	n/a	-999	0	-1	[5, 7, 2]	13	0	-999	0	n/a	n/a	0.0	0	0	0	catFR2	1	R1036M
